trial_id,n_docs,n_topics_excl_minus1,outlier_rate,c_npmi,c_v,topic_diversity_at_10,sep_jsd,balance,clarity,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_metric,hdbscan_selection,vectorizer_min_df,vectorizer_max_df,vectorizer_ngram,embedding_model
trial_00,,4,0.44680851063829785,-0.2808302359171221,,0.975,,,,15,5,0.0,cosine,15,,euclidean,eom,3,0.9,"(1, 2)",
trial_01,,2,0.0,-0.05465022321180647,,1.0,,,,10,5,0.0,cosine,10,,euclidean,eom,2,0.9,"(1, 1)",
trial_02,,2,0.2553191489361702,-0.4550447940099993,,1.0,,,,10,5,0.0,cosine,15,,euclidean,eom,2,0.9,"(1, 1)",
trial_03,,5,0.4657210401891253,-0.2642279489753909,,1.0,,,,10,5,0.0,cosine,15,,euclidean,eom,3,0.9,"(1, 1)",
trial_04,,4,0.5035460992907801,-0.22466339116123288,,0.975,,,,10,5,0.0,cosine,20,,euclidean,eom,2,0.9,"(1, 1)",
trial_05,,2,0.28368794326241137,-0.4559182000895866,,1.0,,,,10,5,0.0,cosine,20,,euclidean,eom,3,0.9,"(1, 1)",
trial_06,,2,0.0,-0.13173657708417563,,0.7,,,,15,5,0.0,cosine,10,,euclidean,eom,2,0.9,"(1, 1)",
trial_07,,2,0.0,-0.13173657708417563,,0.7,,,,15,5,0.0,cosine,10,,euclidean,eom,3,0.9,"(1, 1)",
trial_08,,2,0.0,-0.13173657708417563,,1.0,,,,15,5,0.0,cosine,10,,euclidean,eom,3,0.9,"(1, 2)",
trial_09,,4,0.44680851063829785,-0.3010250505344537,,0.975,,,,15,5,0.0,cosine,15,,euclidean,eom,2,0.9,"(1, 1)",
trial_10,,4,0.44680851063829785,-0.3010250505344537,,0.975,,,,15,5,0.0,cosine,15,,euclidean,eom,3,0.9,"(1, 1)",
trial_11,,3,0.425531914893617,-0.22996421033031822,,0.9666666666666667,,,,15,5,0.0,cosine,20,,euclidean,eom,2,0.9,"(1, 1)",
trial_12,,3,0.425531914893617,-0.22996421033031822,,0.9666666666666667,,,,15,5,0.0,cosine,20,,euclidean,eom,2,0.9,"(1, 2)",
trial_13,,2,0.0,-0.13173657708417563,,0.7,,,,30,5,0.0,cosine,10,,euclidean,eom,3,0.9,"(1, 1)",
trial_14,,2,0.0,-0.13173657708417563,,1.0,,,,30,5,0.0,cosine,10,,euclidean,eom,3,0.9,"(1, 2)",
trial_15,,6,0.5484633569739953,-0.2193481608287439,,1.0,,,,30,5,0.0,cosine,15,,euclidean,eom,2,0.9,"(1, 1)",
trial_16,,6,0.5484633569739953,-0.21498304906038737,,0.9666666666666667,,,,30,5,0.0,cosine,15,,euclidean,eom,2,0.9,"(1, 2)",
trial_17,,3,0.7044917257683215,-0.2518040525517327,,1.0,,,,30,5,0.0,cosine,20,,euclidean,eom,2,0.9,"(1, 2)",
